"ID","name","category","IAA","NAA","tir1_IAA","tir1_NAA","tir1vsSp","tir1vsSp_i","tir1vsSp_n"
"Mapoly0026s0096","MpGID1L6","GA","none","none","none","none","up","up","up"
"Mapoly0026s0097","MpERF6","TF","none","none","none","none","none","none","none"
"Mapoly0026s0098","MpGID1L6.1","GA","none","none","none","none","up","up","up"
"Mapoly0026s0138","MpHMGbox2","TF","none","up","none","none","none","none","none"
"Mapoly0027s0033","MpBBX1","TF","none","none","none","none","none","none","down"
"Mapoly0027s0069","MpWRKY3","TF","none","none","none","none","none","none","none"
"Mapoly0027s0108","MpPIN5","auxin","none","none","none","none","none","none","none"
"Mapoly0027s0111","MpPIN4","auxin","none","up","none","none","none","none","none"
"Mapoly0027s0112","MpPIN2","auxin","none","none","none","none","none","none","none"
"Mapoly0028s0036","MpETR3","ethylene","none","none","none","none","none","none","none"
"Mapoly0028s0058","MpbHLH4","TF","none","none","none","none","none","none","none"
"Mapoly0028s0060","MpbHLH3","TF","none","none","none","none","none","none","none"
"Mapoly0028s0062","MpbHLH2","TF","none","down","none","none","none","none","down"
"Mapoly0028s0084","MpABA1","ABA","none","none","none","none","down","down","down"
"Mapoly0028s0100","MpbHLH48","TF","none","down","none","none","up","up","up"
"Mapoly0028s0101","MpbHLH47","TF","none","none","none","none","none","up","none"
"Mapoly0029s0015","MpHD8/DDT2","TF","none","none","none","none","none","none","none"
"Mapoly0029s0022","MpC2H2-6","TF","none","none","none","none","none","none","none"
"Mapoly0029s0028","Mp1R-MYB10","TF","none","none","none","none","none","none","none"
"Mapoly0029s0079","MpAlfin1","TF","none","none","none","none","none","none","none"
"Mapoly0029s0130","MpbHLH34","TF","none","none","none","none","none","none","none"
"Mapoly0029s0135","MpbHLH33","TF","none","up","none","none","none","none","none"
"Mapoly0029s0145","MpHD9/PINTOX","TF","none","none","none","none","none","none","none"
"Mapoly0293s0001","MpERF23","TF","none","none","none","none","none","none","none"
"Mapoly0003s0147","MpGARP5/MpPHR3","TF","none","none","none","none","none","down","none"
"Mapoly0003s0164","MpTrihelix6","TF","none","none","none","none","none","none","none"
"Mapoly0003s0183","MpGID1L2","GA","none","none","none","none","none","none","none"
"Mapoly0003s0192","MpCYP51","GA","none","none","none","none","none","none","none"
"Mapoly0003s0211","MpIAMT1","auxin","none","none","none","none","down","down","down"
"Mapoly0003s0229","MpTrihelix39","TF","none","none","none","none","none","none","none"
"Mapoly0003s0245","MpC2H2-1","TF","none","up","none","none","none","none","none"
"Mapoly0003s0271","MpGRAS2","TF","none","up","none","none","none","none","none"
"Mapoly0003s0288","MpTrihelix7","TF","none","none","none","none","none","none","none"
"Mapoly0003s0300","MpGID1L3","GA","none","none","none","none","none","none","up"
"Mapoly0030s0009","MpHMGbox3","TF","none","none","none","none","none","none","up"
"Mapoly0030s0035","MpLIM2","TF","none","none","none","none","none","down","up"
"Mapoly0030s0080","MpPYL1","ABA","none","up","none","none","none","none","none"
"Mapoly0030s0125","MpARID2","TF","none","none","none","none","none","down","up"
"Mapoly0030s0140","MpPYL4","ABA","none","none","none","none","none","none","none"
"Mapoly0030s0141","MpbHLH22","TF","none","none","none","none","none","none","none"
"Mapoly0031s0041","MpGRAS4","TF","none","down","none","none","none","none","up"
"Mapoly0031s0059","MpHMGbox4","TF","none","none","none","none","none","none","none"
"Mapoly0031s0072","MpbHLH35","TF","none","none","none","none","none","none","none"
"Mapoly0031s0074","MpbHLH36","TF","none","none","none","none","none","none","none"
"Mapoly0031s0075","MpbHLH50","TF","none","none","none","none","none","none","none"
"Mapoly0031s0076","MpbHLH37","TF","none","none","none","none","none","none","none"
"Mapoly0031s0148","KAI2","strigolactone","none","none","none","none","none","none","up"
"Mapoly0031s0161","MpbHLH12","TF","none","none","none","none","none","none","up"
"Mapoly0031s0170","MpWRKY4","TF","none","none","none","none","none","none","none"
"Mapoly0313s0001","MpPYL2","ABA","none","none","none","none","none","none","none"
"Mapoly0318s0001","MpR2R3-MYB19","TF","none","none","none","none","none","none","none"
"Mapoly0032s0010","MpHD10/MpLD","TF","none","none","none","none","none","none","none"
"Mapoly0032s0097","MpTrihelix13","TF","none","down","none","none","none","none","none"
"Mapoly0032s0124","MpTAA","auxin","none","down","none","none","up","up","up"
"Mapoly0032s0153","MpR2R3-MYB9","TF","none","none","none","none","none","none","none"
"Mapoly0033s0004","MpHD11/MpNDX","TF","none","none","none","none","none","none","none"
"Mapoly0033s0012","MpIPT1","cytokinin","none","none","none","none","none","none","none"
"Mapoly0033s0037","MpIBR5","auxin","none","none","none","none","none","none","none"
"Mapoly0033s0095","MpIDDL2","TF","none","none","none","down","none","none","up"
"Mapoly0330s0001","Mp3R-MYB9","TF","none","none","none","none","none","none","none"
"Mapoly0034s0006","MpSAUR7","auxin","none","none","none","none","none","down","none"
"Mapoly0034s0008","MpSAUR5","auxin","none","none","none","none","none","down","none"
"Mapoly0034s0017","MpIAA","auxin","none","none","none","none","none","down","none"
"Mapoly0034s0029","MpERF7","TF","none","none","none","none","none","down","none"
"Mapoly0034s0034","MpR2R3-MYB10","TF","none","none","none","none","none","none","none"
"Mapoly0034s0053","MpbHLH32","TF","none","down","none","none","down","down","down"
"Mapoly0034s0060","MpACS","ethylene","none","none","none","none","none","none","none"
"Mapoly0034s0126","MpbZIP9","TF","none","down","none","none","none","down","none"
"Mapoly0035s0025","MpSAUR1","auxin","none","none","none","none","none","none","none"
"Mapoly0035s0046","MpNAC2","TF","none","none","none","none","down","down","down"
"Mapoly0035s0049","MpNAC7","TF","none","none","none","none","up","up","up"
"Mapoly0035s0054","MpNAC8","TF","none","none","none","none","none","none","none"
"Mapoly0035s0062","MpTIR","auxin","none","down","none","none","none","none","up"
"Mapoly0035s0104","MIR11692","MIR","none","down","none","none","none","none","down"
"Mapoly0035s0104","MpMIRAXI2","auxin","none","down","none","none","none","none","down"
"Mapoly0035s0146","MpbHLH5","TF","none","none","none","none","none","none","none"
"Mapoly0036s0100","MpIAR4B","auxin","none","up","none","none","none","none","none"
"Mapoly0036s0107","Mp3R-MYB1","TF","none","up","none","none","down","down","down"
"Mapoly0036s0109","MpNFX1-1","TF","none","none","none","none","none","up","none"
"Mapoly0036s0126","MpETR1","ethylene","none","none","none","none","none","none","none"
